AGE,GENDER,ETHNIC,EDU,SEX_O,O1,O2,O3R,O4,O5R,C1,C2,C3R,C4,C5R,E1,E2,E3,E4R,E5R,A1R,A2R,A3,A4,A5,N1,N2R,N3,N4R,N5,N_PART,SDD1,SDD2,SDD3,SDD4,SDD5,PSC1,PSC2,PSC3,PSC4,HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10,NO HS,NO HS,BDSMF1,BDSMF2,BDSMF3,BDSMF4,BDSMF5,BDSMF6,BDSMF7,BDSMF8,BDSMK,INIT1,INIT2R,INIT3R,INIT4,INIT5R,INIT6,INIT7R,INIT8R,INIT9,DSC1R,DSC2R,DSC3R,DSC4R,DSC5R,DSC6R,DSC7R,DSC8,DSC9,DSC10,DSC11,DSC12,DSC13,PBC1,PBC2,PBC3,PBC4,PBC5,PBC6,PBC7R,PBC8R,PAC1,PAC2,PAC3,PAC4,PAC5,PAC6,PAC7,PAC8,PAC9R,IAC1,IAC2,IAC3,IAC4,IAC5,IAC6R,AD1,AD2,AD3
27,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,1,3,3,4,5,2,4,5,4,2,4,4,3,5,5,4,2,2,4,3,5,2,3,4,2,4,1,5,43,5,5,3,2,3,4,4,3,3,0,1,1,1,0,0,1,1,0,0,0,0,5,4,2,3,5,4,3,3,4,2,4,5,3,5,2,4,5,3,3,2,2,2,1,2,3,4,4,5,4,4,4,1,1,2,1,1,3,5,5,5,5,5,4,4,4,5,5,2,4,4,2,2,1,4,5,5,1
22,1,1,4,3,4,4,5,5,5,5,5,2,5,2,5,5,5,1,1,2,4,5,2,3,1,2,2,4,5,8,1,1,1,2,1,5,5,5,5,0,1,1,1,0,0,0,0,0,0,0,0,5,5,5,5,2,3,3,5,5,5,1,3,5,3,1,4,4,4,1,2,1,1,1,1,1,4,4,5,5,5,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,4,5,4,1,2,4,5,5,1
22,1,3,5,1,5,5,4,5,2,4,4,4,4,4,4,2,4,4,4,2,2,4,4,4,4,4,4,4,4,25,4,4,2,5,4,2,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,5,4,2,2,4,4,5,4,4,4,2,4,4,2,4,4,5,5,2,4,4,4,2,2,4,4,5,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,2,3,4,4,4,2,5,5,4,4,4,2,4,4,2
21,1,1,3,1,4,4,3,5,5,5,2,2,3,4,5,5,4,1,3,5,3,2,1,1,2,1,2,1,5,8,1,1,1,2,1,4,4,5,5,0,1,1,1,0,0,0,0,0,0,0,0,4,4,2,2,1,1,1,1,4,5,1,4,5,5,1,3,1,2,1,1,1,1,1,1,1,4,5,5,5,1,1,2,1,4,1,1,1,5,5,4,5,4,3,4,3,5,4,3,5,5,5,5,5,2,5,5,1
23,1,1,4,3,4,5,5,5,2,5,4,4,5,2,2,3,1,5,5,2,1,5,5,5,5,1,5,1,5,65,2,2,4,5,2,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,4,5,5,2,4,5,5,5,1,1,5,5,1,1,1,1,1,1,1,5,5,5,5,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,5,5,1
21,1,1,3,3,3,5,1,3,1,5,4,4,3,3,3,4,3,3,3,3,4,4,5,4,5,3,5,4,5,27,1,1,3,2,2,3,5,5,5,1,1,1,0,0,0,0,0,0,0,0,0,4,5,5,5,4,4,5,3,5,5,1,3,3,5,1,5,3,3,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,4,4,4,5,3,3,5,5,1
24,1,1,3,3,2,5,3,5,3,4,3,3,3,4,3,2,3,3,3,4,4,3,4,4,5,1,5,1,5,8,1,1,4,2,2,4,4,2,4,0,0,0,1,1,0,0,0,0,0,0,0,5,5,3,4,1,2,5,4,4,4,2,4,3,2,2,4,4,4,4,2,4,3,1,1,5,5,5,5,5,4,4,1,1,1,1,1,3,5,5,5,5,5,3,5,5,3,5,1,5,5,4,3,3,2,5,1,1
39,2,1,6,1,4,5,4,4,3,4,3,4,3,4,2,2,3,4,2,4,2,4,4,5,4,3,4,5,4,10,1,1,2,1,1,2,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,2,5,1,3,3,2,4,3,4,4,5,1,4,5,4,2,4,4,4,2,1,2,2,4,3,5,3,2,2,2,2,3,2,1,5,5,4,4,2,2,2,1,5,4,4,4,4,4,4,5,2,4,4,2
20,1,1,4,3,3,5,4,4,1,5,4,3,3,2,4,3,2,2,3,2,2,5,4,5,2,4,5,1,4,2,4,1,1,1,1,5,4,1,3,0,1,1,1,0,0,0,0,1,0,0,0,4,5,1,1,3,3,3,4,3,4,4,4,2,1,1,5,5,2,2,1,1,1,1,3,3,5,4,5,5,4,4,1,1,1,1,1,1,5,5,5,5,5,5,5,2,4,5,1,4,2,2,1,1,5,5,3,1
